iter	Logloss
0	0.6099634328
1	0.5398951137
2	0.4825767674
3	0.4405083675
4	0.4103530595
5	0.3792776069
6	0.3598022118
7	0.3495912483
8	0.3362666044
9	0.3203539624
10	0.3032999809
11	0.2978086556
12	0.2945873894
13	0.2903884713
14	0.2874129231
15	0.283374337
16	0.2781054113
17	0.2710755593
18	0.2638975078
19	0.2610107301
20	0.2575280569
21	0.2524026843
22	0.2494302337
23	0.2464062704
24	0.243408379
25	0.2424697059
26	0.2399440622
27	0.2382400838
28	0.2341909284
29	0.2312311409
30	0.2278032789
31	0.2250812358
32	0.222634238
33	0.2199873559
34	0.2139934373
35	0.2115124228
36	0.2083762988
37	0.2047987315
38	0.2024389411
39	0.2012877206
40	0.1997292312
41	0.1986777091
42	0.1956544055
43	0.1940427542
44	0.1922485568
45	0.1913295021
46	0.1879815479
47	0.1856790496
48	0.184904982
49	0.1817871428
50	0.1796800257
51	0.176182739
52	0.1727809058
53	0.1709012077
54	0.1681552295
55	0.1645888338
56	0.1627686506
57	0.1618863375
58	0.161261803
59	0.1588498115
60	0.1577283342
61	0.1546469067
62	0.1518459596
63	0.150959086
64	0.1489983901
65	0.1485578789
66	0.1469138314
67	0.1461437362
68	0.1440437466
69	0.1428940749
70	0.1407786544
71	0.138367595
72	0.1363568922
73	0.1340425196
74	0.1310943339
75	0.128691119
76	0.126952794
77	0.1245432405
78	0.1217518588
79	0.1212558768
80	0.120477091
81	0.1202619336
82	0.1180384253
83	0.1165755327
84	0.1147856233
85	0.1125421667
86	0.1098518602
87	0.1074119396
88	0.1064517909
89	0.1056054951
90	0.1040570444
91	0.102492962
92	0.1018316072
93	0.1009594905
94	0.09927382547
95	0.09741809104
96	0.09664764453
97	0.09530387517
98	0.09349342949
99	0.09238528925
100	0.09066268195
101	0.08972330611
102	0.08904327218
103	0.08842838205
104	0.08749685073
105	0.08626273233
106	0.08393761832
107	0.08332627041
108	0.08274944836
109	0.0813339025
110	0.07957304785
111	0.07917547345
112	0.07848591712
113	0.07698025984
114	0.07549003344
115	0.0741707656
116	0.07251216199
117	0.07180502365
118	0.07035097231
119	0.06928656483
120	0.06811390462
121	0.06668789702
122	0.06615970516
123	0.06509144713
124	0.06422414179
125	0.0632575253
126	0.06279826326
127	0.06213496523
128	0.06148396457
129	0.06067512015
130	0.05954598474
131	0.05909163807
132	0.05883100189
133	0.05815628129
134	0.0577608652
135	0.05761438306
136	0.05694409381
137	0.05640486658
138	0.05624106056
139	0.05609687656
140	0.05540761422
141	0.05522827336
142	0.05510947644
143	0.05495979627
144	0.05414405026
145	0.05377605767
146	0.05365011895
147	0.05236925262
148	0.05181714004
149	0.05171923431
150	0.05158986094
151	0.05109749279
152	0.05098156407
153	0.05069553364
154	0.0505842478
155	0.05010983454
156	0.04970966442
157	0.04928690729
158	0.04918795467
159	0.04808723947
160	0.04726323665
161	0.04659462887
162	0.04650670446
163	0.04642493231
164	0.04613361365
165	0.04591716915
166	0.04574020171
167	0.0449352652
168	0.04454840708
169	0.04396935142
170	0.04355906734
171	0.04337077414
172	0.04292682107
173	0.04267279966
174	0.04203006657
175	0.0417929424
176	0.04172466868
177	0.04152886439
178	0.04146539848
179	0.04111548267
180	0.04098013628
181	0.04080095317
182	0.04068588848
183	0.0400854648
184	0.03991395769
185	0.03964133247
186	0.03928473377
187	0.03879860036
188	0.03855718825
189	0.0382461436
190	0.03793823246
191	0.03742960525
192	0.03693275197
193	0.03648065324
194	0.03630767977
195	0.03584339122
196	0.03578642535
197	0.0355358386
198	0.03506928777
199	0.03502515347
200	0.03498398058
201	0.034620405
202	0.03447058859
203	0.03415509825
204	0.03393107454
205	0.03369186017
206	0.03357302382
207	0.03352829078
208	0.03348737961
209	0.03344860524
210	0.03330223425
211	0.03320270799
212	0.03289333407
213	0.03267648084
214	0.03253996567
215	0.03227718911
216	0.03218404458
217	0.03214686206
218	0.0319146425
219	0.0318151521
220	0.03176385448
221	0.03173552392
222	0.03158354919
223	0.03155066179
224	0.03130767575
225	0.03110187941
226	0.03097346329
227	0.0308996683
228	0.03067424635
229	0.03058759469
230	0.03048012355
231	0.03017658639
232	0.03008032629
233	0.02987817972
234	0.02965158181
235	0.0294649898
236	0.02927974584
237	0.02901352028
238	0.02893345112
239	0.02889120983
240	0.02854445978
241	0.02851619196
242	0.02845040102
243	0.02818356417
244	0.02792107622
245	0.02775182064
246	0.02754329951
247	0.02750329003
248	0.02735701763
249	0.02718422879
250	0.02714192117
251	0.02705928319
252	0.02685329503
253	0.02682634837
254	0.02673819091
255	0.02663231161
256	0.02650287908
257	0.02625846791
258	0.02620811501
259	0.02609224902
260	0.02573166174
261	0.02570099181
262	0.02553745468
263	0.02545072953
264	0.02537651506
265	0.02531592989
266	0.02524994355
267	0.02505207059
268	0.02501808252
269	0.02498914605
270	0.02481462733
271	0.02457536815
272	0.02442573817
273	0.02423113673
274	0.02409336673
275	0.02404209421
276	0.02401483743
277	0.02396007468
278	0.0238661916
279	0.02383631221
280	0.0237281993
281	0.0236891901
282	0.02360486706
283	0.02355448727
284	0.02353282884
285	0.023408084
286	0.0230897918
287	0.02283597654
288	0.02265758398
289	0.02248541539
290	0.02246170441
291	0.02245226268
292	0.02239122397
293	0.0223688933
294	0.02229428805
295	0.02220313333
296	0.02218471416
297	0.02203433487
