iter	Passed	Remaining
419	2513	3470
420	2519	3465
421	2524	3457
422	2529	3449
423	2534	3443
424	2539	3435
425	2542	3426
426	2552	3425
427	2556	3417
428	2561	3409
429	2567	3403
430	2571	3394
431	2574	3385
432	2580	3378
433	2584	3370
434	2587	3361
435	2595	3357
436	2598	3348
437	2602	3339
438	2606	3330
439	2610	3322
440	2616	3316
441	2620	3308
442	2623	3299
443	2627	3290
444	2630	3281
445	2636	3274
446	2640	3266
447	2643	3257
448	2647	3248
449	2651	3240
450	2654	3231
451	2659	3224
452	2666	3219
453	2675	3217
454	2680	3210
455	2689	3209
456	2699	3207
457	2704	3200
458	2707	3191
459	2713	3185
460	2720	3181
461	2727	3176
462	2731	3168
463	2735	3160
464	2743	3156
465	2751	3153
466	2759	3149
467	2775	3155
468	2787	3155
469	2791	3148
470	2797	3142
471	2806	3139
472	2809	3130
473	2812	3121
474	2817	3114
475	2821	3105
476	2824	3096
477	2827	3088
478	2830	3079
479	2834	3070
480	2838	3062
481	2841	3053
482	2845	3045
483	2848	3036
484	2851	3027
485	2854	3018
486	2857	3010
487	2860	3001
488	2863	2992
489	2866	2983
490	2869	2974
491	2872	2965
492	2875	2957
493	2879	2949
494	2882	2940
495	2885	2932
496	2888	2923
497	2892	2915
498	2895	2907
499	2898	2898
500	2901	2890
501	2905	2881
502	2908	2873
503	2914	2868
504	2919	2861
505	2921	2852
506	2927	2846
507	2933	2841
508	2936	2832
509	2939	2824
510	2945	2818
511	2949	2811
512	2953	2804
513	2956	2795
514	2959	2787
515	2962	2778
516	2965	2770
517	2968	2762
518	2973	2756
519	2980	2751
520	2987	2746
521	2994	2742
522	2999	2736
523	3006	2731
524	3014	2727
525	3017	2719
526	3027	2717
527	3031	2710
528	3035	2702
529	3038	2694
530	3041	2686
531	3044	2678
532	3048	2670
533	3051	2662
534	3054	2654
535	3058	2647
536	3061	2639
537	3067	2634
538	3075	2630
539	3080	2623
540	3083	2616
541	3087	2609
542	3092	2602
543	3095	2595
544	3100	2588
545	3105	2581
546	3108	2574
547	3120	2573
548	3126	2568
549	3129	2560
550	3133	2553
551	3137	2546
552	3141	2539
553	3147	2533
554	3154	2529
555	3159	2523
556	3163	2515
557	3168	2509
558	3171	2502
559	3175	2494
560	3178	2487
561	3182	2480
562	3186	2473
563	3189	2465
564	3194	2459
565	3199	2453
566	3203	2446
567	3208	2440
568	3211	2432
569	3215	2425
570	3218	2418
571	3222	2411
572	3225	2403
573	3229	2396
574	3233	2390
575	3243	2387
576	3249	2382
577	3257	2378
578	3265	2374
579	3268	2366
580	3271	2359
581	3275	2352
582	3278	2345
583	3285	2340
584	3288	2333
585	3299	2330
586	3303	2324
587	3310	2319
588	3329	2322
589	3348	2326
590	3357	2323
591	3362	2317
592	3372	2314
593	3380	2310
594	3390	2307
595	3395	2301
596	3404	2297
597	3408	2291
598	3418	2288
599	3426	2284
600	3433	2279
601	3438	2273
602	3441	2265
603	3456	2266
604	3465	2262
605	3471	2257
606	3481	2254
607	3489	2249
608	3505	2250
609	3512	2245
610	3525	2244
611	3536	2242
612	3548	2240
613	3560	2238
614	3564	2231
615	3585	2234
616	3593	2230
617	3599	2224
618	3606	2220
619	3617	2217
620	3633	2217
621	3637	2210
622	3641	2203
623	3652	2201
624	3661	2196
625	3666	2190
626	3672	2184
627	3681	2180
628	3689	2175
629	3698	2172
630	3704	2166
631	3715	2163
632	3726	2160
633	3730	2153
634	3752	2157
635	3763	2154
636	3775	2151
637	3785	2148
638	3797	2145
639	3808	2142
640	3814	2136
641	3822	2131
642	3825	2124
643	3831	2117
644	3841	2114
645	3855	2112
646	3865	2108
647	3875	2105
648	3883	2100
649	3896	2098
650	3911	2096
651	3918	2091
652	3928	2087
653	3944	2086
654	3957	2084
655	3971	2082
656	3976	2075
657	3982	2070
658	3987	2063
659	3997	2059
660	4002	2052
661	4006	2045
662	4011	2038
663	4015	2031
664	4018	2024
665	4020	2016
666	4024	2009
667	4027	2001
668	4030	1994
669	4033	1986
670	4040	1981
671	4044	1973
672	4046	1966
673	4053	1960
674	4057	1953
675	4064	1948
676	4069	1941
677	4072	1934
678	4075	1926
679	4078	1919
680	4082	1912
681	4085	1904
682	4089	1897
683	4092	1890
684	4095	1883
685	4098	1876
686	4102	1869
687	4106	1862
688	4108	1854
689	4112	1847
690	4116	1840
691	4119	1833
692	4125	1827
693	4130	1821
694	4134	1814
695	4137	1807
696	4142	1800
697	4146	1793
698	4150	1787
699	4153	1780
700	4157	1773
701	4160	1766
702	4163	1758
703	4166	1752
704	4173	1746
705	4181	1741
706	4186	1735
707	4194	1729
708	4198	1723
709	4206	1717
710	4210	1711
711	4213	1704
712	4217	1697
713	4220	1690
714	4224	1683
715	4227	1676
716	4230	1669
717	4233	1662
718	4238	1656
719	4241	1649
720	4247	1643
721	4254	1637
722	4257	1631
723	4262	1624
724	4266	1618
725	4269	1611
726	4272	1604
727	4277	1598
728	4281	1591
729	4285	1585
730	4290	1579
731	4295	1572
732	4299	1565
733	4303	1559
734	4307	1553
735	4310	1546
736	4313	1539
737	4316	1532
738	4320	1525
739	4325	1519
740	4328	1513
741	4332	1506
742	4337	1500
743	4341	1493
744	4345	1487
745	4349	1480
746	4357	1475
747	4364	1470
748	4369	1464
749	4373	1457
750	4376	1451
751	4379	1444
752	4382	1437
753	4386	1431
754	4391	1425
755	4394	1418
756	4397	1411
757	4400	1404
758	4403	1398
759	4406	1391
760	4410	1385
761	4414	1378
762	4417	1372
763	4420	1365
764	4423	1358
765	4426	1352
766	4429	1345
767	4432	1338
768	4436	1332
769	4439	1326
770	4442	1319
771	4446	1313
772	4449	1306
773	4453	1300
774	4457	1294
775	4461	1287
776	4464	1281
777	4469	1275
778	4474	1269
779	4479	1263
780	4482	1256
781	4485	1250
782	4489	1244
783	4493	1237
784	4496	1231
785	4503	1226
786	4506	1219
787	4511	1213
788	4518	1208
789	4522	1202
790	4528	1196
791	4533	1190
792	4538	1184
793	4545	1179
794	4551	1173
795	4556	1167
796	4560	1161
797	4567	1156
798	4571	1150
799	4576	1144
800	4579	1137
801	4583	1131
802	4586	1125
803	4590	1119
804	4594	1112
805	4598	1106
806	4602	1100
807	4605	1094
808	4609	1088
809	4612	1082
810	4616	1075
811	4619	1069
812	4623	1063
813	4627	1057
814	4630	1051
815	4634	1044
816	4637	1038
817	4642	1032
818	4645	1026
819	4649	1020
820	4653	1014
821	4659	1008
822	4665	1003
823	4668	997
824	4672	991
825	4675	985
826	4678	978
827	4682	972
828	4687	966
829	4691	960
830	4698	955
831	4703	949
832	4709	944
833	4713	938
834	4721	933
835	4727	927
836	4738	922
837	4744	917
838	4750	911
839	4753	905
840	4759	899
841	4767	894
842	4775	889
843	4782	884
844	4788	878
845	4795	872
846	4804	867
847	4809	862
848	4812	855
849	4819	850
850	4823	844
851	4826	838
852	4832	832
853	4837	826
854	4840	820
855	4844	814
856	4847	808
857	4850	802
858	4853	796
859	4856	790
860	4860	784
861	4866	779
862	4877	774
863	4885	768
864	4893	763
865	4898	758
866	4902	752
867	4905	746
868	4909	740
869	4912	734
870	4917	728
871	4922	722
872	4927	716
873	4934	711
874	4939	705
875	4943	699
876	4948	694
877	4953	688
878	4960	682
879	4963	676
880	4972	671
881	4975	665
882	4978	659
883	4982	653
884	4991	648
885	4999	643
886	5010	638
887	5019	633
888	5024	627
889	5031	621
890	5039	616
891	5045	610
892	5050	605
893	5054	599
894	5057	593
895	5060	587
896	5063	581
897	5066	575
898	5071	569
899	5074	563
900	5077	557
901	5080	552
902	5089	546
903	5097	541
904	5100	535
905	5104	529
906	5108	523
907	5118	518
908	5121	512
909	5132	507
910	5142	502
911	5146	496
912	5155	491
913	5168	486
914	5172	480
915	5193	476
916	5221	472
917	5234	467
918	5246	462
919	5256	457
920	5269	451
921	5273	446
922	5323	444
923	5326	438
924	5330	432
925	5334	426
926	5337	420
927	5341	414
928	5345	408
929	5349	402
930	5353	396
931	5357	390
932	5418	389
933	5453	385
934	5470	380
935	5526	377
936	5553	373
937	5568	368
938	5573	362
939	5581	356
940	5595	350
941	5602	344
942	5623	339
943	5627	333
944	5631	327
945	5634	321
946	5638	315
947	5675	311
948	5679	305
949	5683	299
950	5687	293
951	5693	287
952	5698	281
953	5702	274
954	5707	268
955	5715	263
956	5719	257
957	5723	250
958	5726	244
959	5733	238
960	5742	233
961	5747	227
962	5755	221
963	5759	215
964	5765	209
965	5773	203
966	5775	197
967	5778	191
968	5781	184
969	5783	178
970	5787	172
971	5790	166
972	5792	160
973	5797	154
974	5800	148
975	5803	142
976	5807	136
977	5810	130
978	5813	124
979	5816	118
980	5819	112
981	5822	106
982	5824	100
983	5827	94
984	5830	88
985	5832	82
986	5838	76
987	5841	70
988	5844	65
989	5847	59
990	5851	53
991	5855	47
992	5858	41
993	5862	35
994	5865	29
995	5869	23
996	5877	17
997	5884	11
998	5890	5
999	5899	0
