iter	Logloss
0	0.6883735685
1	0.6847941123
2	0.6822685537
3	0.6795408166
4	0.6779629534
5	0.6748669063
6	0.6734632757
7	0.671993617
8	0.6700684426
9	0.6681211775
10	0.6661127821
11	0.6635337361
12	0.6616829504
13	0.6599211641
14	0.6586386914
15	0.6573340543
16	0.6552409299
17	0.6541212345
18	0.6534085494
19	0.6525103031
20	0.6521134794
21	0.6513606238
22	0.6505175891
23	0.6484187899
24	0.6450547213
25	0.6445000265
26	0.6436142601
27	0.6425075499
28	0.6415439152
29	0.6402214627
30	0.6383207694
31	0.6375191584
32	0.6365096945
33	0.6359349941
34	0.6355349968
35	0.6348329179
36	0.633622137
37	0.6314626153
38	0.631204328
39	0.6299631278
40	0.6298956206
41	0.6292206117
42	0.628295704
43	0.6261492618
44	0.6255256545
45	0.6247581866
46	0.6238406741
47	0.6230341114
48	0.6226719536
49	0.6224982063
50	0.6220005636
51	0.6213443284
52	0.6205489201
53	0.6203278677
54	0.6199596609
55	0.619554075
56	0.6189163415
57	0.6184974929
58	0.6180213044
59	0.6176258915
60	0.6164721608
61	0.6162207568
62	0.6157838058
63	0.6148261247
64	0.6145412136
65	0.6136014176
66	0.613442478
67	0.613209037
68	0.6121959663
69	0.610779002
70	0.6100501168
71	0.6088417558
72	0.6075713736
73	0.6059973548
74	0.6053200808
75	0.604782282
76	0.6035864345
77	0.6029377218
78	0.6022963895
79	0.6016890305
80	0.6008669493
81	0.6002477641
82	0.5997394073
83	0.5995343394
84	0.5991747342
85	0.5976620307
86	0.5969146212
87	0.5959438028
88	0.5956310613
89	0.5951661098
90	0.5947772067
91	0.5937420681
92	0.5935270731
93	0.5930876228
94	0.5925514878
95	0.5917847602
96	0.5912122285
97	0.5907063008
98	0.589966423
99	0.5893366757
100	0.5888615742
101	0.5877654325
102	0.5865685272
103	0.5856695865
104	0.5848034051
105	0.5833375006
106	0.5826778263
107	0.5818875541
108	0.5807663222
109	0.5802931477
110	0.5794013655
111	0.5786659111
112	0.577655932
113	0.5763374243
114	0.5758676754
115	0.5746208876
116	0.5737596689
117	0.5728265356
118	0.5723595931
119	0.5716931415
120	0.5707914351
121	0.5695342948
122	0.5686183944
123	0.5680905859
124	0.5673654744
125	0.566446408
126	0.5660016872
127	0.5650846493
128	0.5645594556
129	0.563955291
130	0.5632710954
131	0.5627796765
132	0.5623996763
133	0.5621486254
134	0.5611326035
135	0.5606253168
136	0.5601581305
137	0.5592444311
138	0.5585972316
139	0.5576494536
140	0.5573458658
141	0.5567173381
142	0.5561272986
143	0.5555262624
144	0.555013927
145	0.5539979116
146	0.5535687713
147	0.553179042
148	0.5527919086
149	0.5522537822
150	0.5518991359
151	0.5516197807
152	0.5511111999
153	0.5504081403
154	0.5499282031
155	0.5491992539
156	0.5488766174
157	0.5487128758
158	0.5484886964
159	0.5479783227
160	0.5476891582
161	0.5475079191
162	0.5467897375
163	0.5465303827
164	0.5455839318
165	0.5450840046
166	0.5443638064
167	0.5441932404
168	0.543906838
169	0.5436389081
170	0.5431895398
171	0.5430499899
172	0.5425987308
173	0.5422099442
174	0.5418629458
175	0.5416948394
176	0.5415265196
177	0.5413287736
178	0.5411828103
179	0.5406832168
180	0.540425576
181	0.5402569517
182	0.5398860462
183	0.5397710343
184	0.5395389533
185	0.5393804381
186	0.5391002209
187	0.5390058637
188	0.5385379073
189	0.5382297009
190	0.5380548672
191	0.5378778296
192	0.5375178475
193	0.5371342141
194	0.5369403234
195	0.53674913
196	0.5362406839
197	0.5360754541
198	0.5357032987
199	0.5355763712
200	0.5352698787
201	0.5348345156
202	0.53436286
203	0.5340676133
204	0.5338786507
205	0.5338110389
206	0.5337240227
207	0.5333886571
208	0.533258331
209	0.533156287
210	0.5330181715
211	0.5328949973
212	0.5326689987
213	0.5324355765
214	0.5323852904
215	0.5320975771
216	0.532064806
217	0.5318808694
218	0.5316136412
219	0.5313946611
220	0.5312921465
221	0.5310853115
222	0.5307854916
223	0.5307151185
224	0.5304778865
225	0.530303919
226	0.5299244852
227	0.5296634514
228	0.5296148556
229	0.5295547151
230	0.5294518857
231	0.5291971297
232	0.5290948174
233	0.5289327215
234	0.5287967408
235	0.5287504105
